Cluster,Category_Name_Descriptive,__Spend_Final,Item ID,Item Name,Quantity,Total Bcy,Sub Total Bcy,Purchase Order ID,Product ID,Currency Code,Account ID,Tax ID,Quantity_log,Total_Bcy_log,Sub_Total_Bcy_log,Item_Name_Clean,lang,Item_Name_NoStop
54,Rebar / Cut & Bend,215250.0,3263831000000763127,HEB 200X200X15X9MMX12MTR,75.0,215250.0,215250.0,3263831000000763125,3.263831000000755e+18,SAR,3263831000000034003,3.26383100000008e+18,4.330733340286331,12.27956006803993,12.27956006803993,heb 200x200x15x9mmx12mtr,so,heb 200x200x15x9mmx12mtr
54,Rebar / Cut & Bend,172900.0,3263831000000763149,HEB 280X280X10.5X18MMX12MTR,35.0,172900.0,172900.0,3263831000000763125,3.263831000000755e+18,SAR,3263831000000034003,3.26383100000008e+18,3.58351893845611,12.06047445534465,12.06047445534465,heb 280x280x10.5x18mmx12mtr,so,heb 280x280x10.5x18mmx12mtr
137,Electrical Units / HR,28860.0,3263831000000763145,IPE 300X150X7.1X10.7X12MTR,15.0,28860.0,28860.0,3263831000000763125,3.2638310000007567e+18,SAR,3263831000000034003,3.26383100000008e+18,2.772588722239781,10.270246481762213,10.270246481762213,ipe 300x150x7.1x10.7x12mtr,ca,ipe 300x150x7.1x10.7x12mtr
54,Rebar / Cut & Bend,75820.0,3263831000000763143,HEB 260X260X10X17.5MMX12MTR,17.0,75820.0,75820.0,3263831000000763125,3.2638310000007593e+18,SAR,3263831000000034003,3.26383100000008e+18,2.8903717578961645,11.236130578115505,11.236130578115505,heb 260x260x10x17.5mmx12mtr,so,heb 260x260x10x17.5mmx12mtr
135,Black Cables / Saraya,20850.0,3263831000000763151,Corrugated Sheet 1x6 mtr x 0.50 mm,139.0,20850.0,20850.0,3263831000000763125,3.26383100000076e+18,SAR,3263831000000034003,3.26383100000008e+18,4.941642422609304,9.94515718770752,9.94515718770752,corrugated sheet 1x6 mtr x 0.50 mm,en,corrugated sheet 1x6 mtr x 0.50 mm
73,Steel Sheets / ASTM A36,33900.0,3263831000000763147,B.SHEET 1.5X6 MTRX20 MM,6.0,33900.0,33900.0,3263831000000763125,3.263831000000756e+18,SAR,3263831000000034003,3.26383100000008e+18,1.9459101490553132,10.431199791458543,10.431199791458543,b.sheet 1.5x6 mtrx20 mm,so,b.sheet 1.5x6 mtrx20 mm
135,Black Cables / Saraya,131100.0,3263831000000763256,GI Sheet 1000 x 3000 x 1.2 mm (1758),950.0,131100.0,131100.0,3263831000000763252,3.26383100000076e+18,SAR,3263831000000034003,3.26383100000008e+18,6.85751406254539,11.783723297487764,11.783723297487764,gi sheet 1000 x 3000 x 1.2 mm 1758,nl,gi sheet 1000 x 3000 x 1.2 mm 1758
106,Reinforcing Steel Bars / Rajhi,462.0,3263831000000763264,ماسورة حديد مقاس 1.5 بوصة سماكة 2.8 مم طول 6 م,11.0,462.0,462.0,3263831000000763252,3.2638310000007567e+18,SAR,3263831000000034003,3.26383100000008e+18,2.4849066497880004,6.137727054086234,6.137727054086234,ماسورة حديد مقاس 1.5 بوصة سماكة 2.8 مم طول 6 م,ar,ماسورة حديد مقاس 1.5 بوصة سماكة 2.8 مم طول 6 م
77,HR Sheets / Gr50,3190.0,3263831000000763272,HR Sheet 5.8x1000x2000mm,10.0,3190.0,3190.0,3263831000000763252,3.263831000000756e+18,SAR,3263831000000034003,3.26383100000008e+18,2.3978952727983707,8.068089626278244,8.068089626278244,hr sheet 5.8x1000x2000mm,en,hr sheet 5.8x1000x2000mm
106,Reinforcing Steel Bars / Rajhi,3600.0,3263831000000763280,ماسورة حديد مقاس 1 بوصة سماكة 1.5 مم طول 6 م,100.0,3600.0,3600.0,3263831000000763252,3.2638310000007567e+18,SAR,3263831000000034003,3.26383100000008e+18,4.61512051684126,8.188966863648876,8.188966863648876,ماسورة حديد مقاس 1 بوصة سماكة 1.5 مم طول 6 م,ar,ماسورة حديد مقاس 1 بوصة سماكة 1.5 مم طول 6 م
